Company,Investory Type,Portfolio,Category
Microsoft,Industry/Strategic,"Microsoft's current portfolio in the US, operating in and around New York, includes the following companies:

1. **Nexamp** - Collaborating with Microsoft on a 300 MW community solar portfolio to advance clean energy nationwide[3].
2. **Edvantis** - A mature, value-oriented software development partner with development centers in Eastern Europe, but with a presence in New York[5].
3. **Innowise** - A custom software development company with a presence in New York and multiple international locations[5].
4. **Abto Software** - A full-cycle custom software engineering company with a presence in New York[5].
5. **Reciprocity ROI, LLC** - An innovation and market development firm based in New York[5].

These companies are part of Microsoft's broader strategic initiatives in the US, particularly in the New York area, focusing on technology, sustainability, and innovation.","Microsoft's venture capital fund, M12, invests in early-stage technology companies disrupting the enterprise[1]. In the context of New York, Microsoft is involved in various tech initiatives, including:

- **AI and Cloud Tech**: Major AI developments, including multimodal AI, and investments in cloud technology[4].
- **Azure Development**: Microsoft Azure development companies in New York, such as Edvantis, Innowise, and Abto Software, which specialize in software development and digital solutions[5].

These companies are primarily involved in **software development**, **AI**, and **cloud technology**."
Micro Ventures,Investor,"The current companies in the portfolio of MicroVentures are not explicitly listed in the provided sources. However, MicroVentures does provide a portfolio overview, but it does not specify the exact companies currently in their active portfolio[3]. For a comprehensive list of companies, you would need to visit their official portfolio page or contact them directly. 

For a list of top venture capital firms in New York, you can refer to sources like Papermark, which lists several prominent firms operating in the city, including IA Ventures, Contour Venture Partners, and Female Founders Fund[5].","MicroVentures, as a micro VC investor in the US, operates across various sectors. However, specific details about the current companies in their portfolio are not provided in the sources. The sources do mention the types of companies they typically invest in, but not the exact companies in their current portfolio.

- **Typical Investment Sectors:**
  - Early-stage technology startups[2]
  - Companies that have indicated they may pursue or have filed paperwork for a future IPO[1]
  - Various sectors including financial services, enterprise SaaS, and digital media[5]

For precise information on the current companies in their portfolio, you would need to refer to their latest portfolio updates or investor reports, which are not available in the provided sources."
milemark•capital,Investor,"The current companies in the portfolio of milemark•capital, as per the information available, are:

1. **Empallo**
   - **Claire Beskin**: Co-Founder & CEO
   - **Ruizhi (Ray) Liao**: Co-Founder & CTO
   - **Saving hearts with AI-powered cardiovascular care**[1]

2. **Piction Health**
   - **Susan Conover**: Co-Founder & CEO
   - **Pranav Kuber**: Co-Founder & CTO
   - **Applying AI to elevate every doctor to have the expertise of a dermatologist**[1]

3. **Atacama Biomaterials**
   - **Paloma Gonzalez-Rojas, Ph.D.**: Co-Founder & CEO
   - **Jose Tomas Dominguez**: Co-Founder
   - **Creating low-cost, low-carbon, recyclable, compostable, and durable materials using AI and robotics**[1]

These companies are part of milemark•capital's active portfolio, focusing on diverse teams and innovative AI applications[1][4].","Milemark•capital invests in early-stage, diverse teams using proprietary AI systems, particularly in the following categories:

- **Healthcare**: Companies like Empallo and Piction Health, which focus on AI-powered cardiovascular care and dermatology, respectively[1][4].
- **Healthcare and Technology**: Companies that leverage AI to enhance medical practices and patient experiences[1][4].
- **Sustainable Materials and Robotics**: Atacama Biomaterials, which creates low-cost, low-carbon, recyclable, compostable, and durable materials using AI and robotics[1][4].

These investments are primarily focused on innovation hubs and scalable businesses that utilize AI to rewrite existing business models[4]."
Morgan Stanley,Investor,"The current companies in the portfolio of Morgan Stanley, as per the provided information, are:

1. **AAPL** - Apple Inc
2. **MSFT** - Microsoft Corp
3. **NVDA** - Nvidia Corporation
4. **AMZN** - Amazon Com Inc

These companies are listed in the top holdings of Morgan Stanley's 13F filings.","Morgan Stanley invests in the following categories of companies:

- **Quality Stocks for Long-Term Holding Period**: Companies like Prologis, Raytheon Technologies, Thermo Fisher Scientific, T-Mobile US, UnitedHealth Group, Visa, and Yum Brands[1].
- **Private Equity**: Middle-market companies across various industries, focusing on value creation through management and operational improvements, strategic add-on acquisitions, and thoughtful capitalization[5].
- **Capital Partners**: Companies with enterprise values from $200 million to $800 million and EBITDA from $15 million to $60 million, primarily in control transactions via founder-led recapitalizations, growth equity investments, industry roll-ups, management buyouts, corporate carve-outs, and platform builds[5]."
Myriad Venture Partners,Investor,"Myriad Venture Partners has made 14 investments, but the specific companies currently in their active portfolio are not explicitly listed in the provided sources. However, some notable companies in their portfolio include:

- **Patlytics**: A patent intelligence platform that recently secured a $14 million Series A round[4][5].
- **Li Industries**: A company that raised $36 million in Series B funding and secured a $55 million grant from the Department of Energy to scale battery recycling capacity[5].

For a comprehensive and up-to-date list of their current portfolio companies, it is recommended to visit their official website or recent investment announcements.","Myriad Venture Partners invests in the following categories of companies:

- **AI**
- **B2B Software**
- **Clean Technologies**[2][3]"
New Era Capital Partners,Investor,"New Era Capital Partners' current portfolio includes the following companies:

1. **Hopper Security** - An open-source risk platform[2].
2. **Papaya Global** - Simplifies global payroll and workforce management[4].
3. **Assured Allies** - Develops technologies to help people age independently[4].
4. **Vi** - Provides an affordable AI fitness coach[4].
5. **Sora** - Offers autonomous debt refinancing services[4].
6. **Suridata** - Helps organizations control and protect business-critical data across SaaS applications[4].

These companies are part of New Era Capital Partners' active portfolio, as of the latest information available[1][2][4].","New Era Capital Partners invests in the following categories of companies:

- **Healthcare and Biotech**
- **Health Diagnostics**
- **Artificial Intelligence**
- **Biotechnology**
- **Therapeutics**
- **Fintech**
- **Software as a Service (SaaS)**
- **Digital Health**
- **Agricultural Technology**
- **Telecommunications and Media Technology (TMT)**

Specific companies in their portfolio include:
- **Assured Allies** (aging independently technologies)
- **Vi** (AI fitness coach)
- **Sora** (autonomous debt refinancing)
- **Suridata** (data security for SaaS applications) [1][2][5]"
New York Angels,Investor,"The current companies in the portfolio of New York Angels are not explicitly listed in the provided sources. However, New York Angels has invested in over 330 companies across various industries, as mentioned in their portfolio section[2]. Specific companies mentioned in recent newsletters include:

- **Rockerbox** (acquired)[1]
- **ChillSkyn** (investment in January 2025)[5]
- **Linebird** (investment in January 2025)[5]

For a comprehensive list, you would need to refer to their official portfolio or recent investment updates.","New York Angels invests in a wide variety of industries, including:

- **Advertising**
- **Agriculture**
- **Business Services**
- **Construction**
- **Consumer Products**
- **Consumer Services**
- **Education**
- **Electronics/High Tech**

These categories are based on the information provided in the New York Angels portfolio[2]."
Newlab,Investor,"Newlab's current portfolio includes the following companies:

1. **Tarform** - Zero-waste electric motorcycle
2. **Oyster mushroom, TômTex** - Biopolymers in vegan leathers
3. **Fermata Energy** - Bidirectional charging V2G platform
4. **LIVAQ’s EQUAD** - All-electric ATV
5. **Gradient’s window heat pump** - Easy-to-install window heat pump
6. **Werewool** - Natural color and fluorescence from protein structure

These companies are part of Newlab's focus on critical technology startups in energy, mobility, and materials[1][2].","Newlab invests in **critical technology startups** focused on **climate and deep tech**. Specifically, they support companies building solutions in **energy, mobility, and materials**[2][4]."
Nirvana Capital,Investor,"Nirvana Capital is not mentioned in the provided sources as an investor in the US, operating in and around New York. The sources mention Nirvana Capital as a Chinese VC firm focused on blockchain investments, and Nirvana (the benefit verification technology company) as a portfolio company of Inspired Capital, not Nirvana Capital[1][4]. Therefore, there is no information available on the current companies in the portfolio of Nirvana Capital. 

However, if you are looking for companies in the portfolio of Inspired Capital, Nirvana is one such company[1]. 

For clarity, here is the list of companies mentioned in the context of Nirvana:

- **Nirvana** (benefit verification technology for healthcare)[1]","Nirvana Capital, a NYC-based venture capital firm, invests in health tech startups. Specifically, they have deployed capital into companies like Dash0, Nexos.ai, and PolyAPI[3]. 

### Categories of Companies Invested In:
- **Health Tech Startups**"
Nor'easter Ventures,Investor,"Nor'easter Ventures does not publicly disclose the specific companies in their active portfolio. The information provided in the search results only outlines their investment strategy and general approach to venture capital, but does not list the current companies they are investing in[1]. Therefore, the list of companies currently in their active portfolio is not available.","Nor'easter Ventures invests in **early stage, deep tech ventures of consequence**[1]. They focus on innovative deep tech and visionary entrepreneurs that challenge the status quo and transform markets. The specific companies in their portfolio are not listed in the provided sources. However, they aim to support startups that improve the health of people and the planet, indicating a focus on sustainable and impactful technologies."
NY Ventures,Investor,"The current companies in the portfolio of New York Ventures are not explicitly listed in the provided sources. However, New York Ventures is mentioned to be actively deploying over $300 million of capital through equity programs for both direct and indirect investment, but specific portfolio companies are not detailed in the sources [3]. 

For a comprehensive list of active venture capital firms in New York, including their portfolios, you can refer to other sources like SeedLegals, which provides detailed information on various NYC-based VC firms and their notable investments [5]. However, New York Ventures' specific portfolio is not included in these lists.","New York Ventures invests in the following categories of companies:

- **Climate Tech**
- **Health Tech and Life Sciences**
- **Ag-tech Systems**
- **Advanced Manufacturing**
- **SaaS**
- **Data**
- **AI**
- **Fintech**
- **Insurtech**
- **Enterprise Software**
- **Digital Health**
- **Proptech**

These categories are based on the information provided in the sources [1], [2], and [3]."
NYC Economic Development Corporation,Industry/Strategic,"The New York City Economic Development Corporation (NYCEDC) does not publicly disclose a comprehensive list of companies in their active portfolio. However, it is mentioned that the NYC Catalyst Fund has committed over half of its $40 million capital to various fund managers, including Open Opportunity Fund, which focuses on investing in software companies led by diverse founders[3].

Additionally, NYCEDC serves businesses across various sectors such as small businesses, life sciences, technology, green economy, and creative industries[1]. Specific companies are not listed in the provided sources.

For the most accurate and up-to-date information, you would need to refer to the latest press releases or financial reports from NYCEDC.","The NYC Economic Development Corporation (NYCEDC) invests in the following categories of companies:

- **Enterprise IT**
- **Artificial Intelligence**
- **Fintech**
- **Digital Health**
- **Life Sciences**
- **Technology**
- **Green Economy**
- **Creative Industries**
- **Battery Storage**
- **Manufacturing and Light Industrial Uses**

These investments are part of their strategic focus on growing innovative sectors with a focus on equity and sustainability[1][2][4]."
NYTCP,Investor,"New State Capital Partners (NYTCP) does not provide a detailed list of their current portfolio companies on their website. However, according to their portfolio page, the following companies are mentioned:

- University Instructors
- The Expo Group
- Universal Plant Services
- ArborWorks
- CDS
- Central Conveyor
- Global Holdings
- NWN Carousel

For the most accurate and up-to-date information, it is recommended to visit their official website or contact them directly[3].","New State Capital Partners (NYTCP) invests in the following categories of companies:

- **University Instructors**
- **Event and Exhibition Services (The Expo Group)**
- **Industrial Services (Universal Plant Services)**
- **Arbor and Forestry Services (ArborWorks)**
- **Construction and Engineering Services (CDS, Central Conveyor, Global Holdings, NWN Carousel)**[4]."
NYU Entrepreneurial Institute,Investor,"The NYU Innovation Venture Fund, which is part of the NYU Entrepreneurial Institute, does not publicly disclose the current companies in its active portfolio. However, it is known to invest in startups founded by NYU students, faculty, and researchers, focusing on technologies, innovations, and intellectual property developed at NYU[1][2].

For the most up-to-date information on the current portfolio companies, you would need to contact the NYU Entrepreneurial Institute directly or check their official resources for any recent updates or announcements[1][4].","The NYU Entrepreneurial Institute, through its Innovation Venture Fund, invests in companies across various categories, including:

- **Robotics**
- **Healthcare**
- **AI**
- **Education Technology**
- **Ecommerce**
- **Entertainment**

These categories are based on the impact and portfolio companies mentioned in the annual report 2021[5]."
NYU Innovation Venture Fund,"Investor, Other","The NYU Innovation Venture Fund's current portfolio includes the following companies:

- **BioDigital** (latest portfolio exit was January 10, 2025) [2]
- **Transparent Healthcare**
- **Opentrons** [2]
- **Jones** (pre-seed investment on February 15, 2024) [2]

Note: The list of active portfolio companies may not be exhaustive, as the sources primarily highlight recent exits and investments. For the most current information, it is recommended to visit the NYU Entrepreneurship website or contact the fund directly[1][2][4].","The NYU Innovation Venture Fund invests in startups that are built upon NYU technologies and intellectual property, specifically in the following categories:

- **Healthcare and Biotechnology**: Companies like BioDigital and Transparent Healthcare[2].
- **Technology and Robotics**: Companies like Opentrons[2].
- **Education**: Companies like Kinvolved[5].
- **Consumer Products**: Companies like Brooklinen[5].
- **Artificial Intelligence and Machine Learning**: Companies like Clarifai[5].
- **Other Innovations**: Companies like numberFire, Wrapbook, and MyWellbeing[5].

These investments are primarily focused on early-stage businesses with inventions, discoveries, products, or services developed in whole or in part at NYU[1][2][4]."
NYU Langone,NYU,"The current companies in the portfolio of NYU Langone Health's Technology Opportunities & Ventures (TOV) are:

- Aeragen
- Aethon Therapeutics
- AI-Optics
- Ajax Therapeutics
- Alto Neuroscience
- Ataraxis
- Brain DX[2].","The Technology Opportunities & Ventures (TOV) at NYU Langone Health invests in companies related to various medical and technological advancements. The specific companies in their portfolio include:

- **Aeragen**
- **Aethon Therapeutics**
- **AI-Optics**
- **Ajax Therapeutics**
- **Alto Neuroscience**
- **Ataraxis**
- **Brain DX**

These companies are primarily involved in biotechnology, neuroscience, and medical research[1]."
Nucleate NY,NYU,"Nucleate NY does not have a portfolio of companies in the traditional sense. Instead, it supports and empowers biotech leaders through various programs and resources, including the Activator cohort program for academic biotech founders. The organization does not publicly disclose a list of specific companies in their active portfolio.

However, some notable companies that have emerged from Nucleate's programs include:
- **NextRNA Therapeutics**: Raised $56 million to develop therapeutics targeting non-coding RNAs.
- **Manifold Bio**: Secured $45 million for protein design technologies and developing biologics.
- **Concerto Biosciences**: Raised funding for their biotech ventures.

These companies are not part of Nucleate NY's current portfolio but are examples of successful biotech ventures that have benefited from Nucleate's programs[4].","Nucleate NY, as part of the broader Nucleate organization, focuses on empowering biotech leaders and supporting bio-entrepreneurs. The specific companies in their portfolio are not detailed in the provided sources. However, Nucleate generally supports companies in the biotechnology sector, particularly those involved in transforming scientific research into viable biotech ventures. The category of companies they invest in includes:

- **Biotechnology**
- **Bio-innovation**
- **Academic Bioventures**

These categories encompass a wide range of biotech ventures, including those focused on biomedical and ecological challenges[1][2][4]."
OCA Ventures,Investor,"The current companies in the portfolio of OCA Ventures are listed on their website, but the list is extensive and not fully detailed in the provided sources. However, here are some of the companies mentioned in the portfolio:

- **Actuate**
- **AI Responsibility Lab**
- **Alembic**
- **Alert Logic**
- **AMOpportunities**
- **Amplified Sciences**
- **Archer Education**
- **Array**
- **Astarte Medical**
- **Atalan**
- **Automated Insights**
- **Balto**
- **Betty**
- **BioRosa**
- **Biotia**
- **BUDDY**
- **Cartavi**
- **Clearstep**
- **Cleversafe**
- **Crafty**
- **Curate**
- **Deciens**
- **dv01**
- **eBlu Solutions**
- **Falcon**
- **Food ID**
- **Genvid**
- **Gray Matter Robotics**
- **HealtheMed**
- **Health iPass**
- **Health Finch**
- **Hubly**
- **HUBLY SURGICAL**
- **Impossible Objects**
- **iPill**
- **Iris Automation**
- **Livly**
- **LogicGate**

For the most up-to-date and comprehensive list, it is recommended to visit the OCA Ventures website directly[1][2].","OCA Ventures invests in the following categories of companies:

- **Fintech**
- **Enterprise**
- **Health**
- **Ecommerce**
- **Life sciences & healthcare**
- **Business services**
- **Communications and information technology**

These categories are based on the information provided in the sources, particularly from the VC Fund Breakdown sheet[5]. There is no specific mention of companies operating in or around New York in the provided sources. However, OCA Ventures primarily operates in the USA and Canada[5]."
Oceans Ventures,Investor,"The current companies in the portfolio of Oceans Ventures are not explicitly listed in the provided sources. However, it is mentioned that Oceans Ventures has made investments in various sectors, including digital health, climate, education, fintech, web3, SaaS, and marketplace sectors, and has had notable portfolio exits such as OurSky in February 2025[3].

For a comprehensive and up-to-date list of their current portfolio companies, you would need to refer to more recent and detailed sources or the official Oceans Ventures website.","Oceans Ventures invests in the following categories of companies:

- **Digital Health**
- **Climate**
- **Education**
- **Fintech**
- **Web3**
- **SaaS**
- **Marketplace**[2]"
Octane Bio LLC,Industry/Strategic,"Octane Bio LLC, which is not explicitly mentioned in the provided sources, seems to be a different entity from Octane Medical Group. However, based on the information available, here are the companies currently in the active portfolio of Octane Medical Group:

1. **Octane Clinical Systems**
2. **Octane Orthobiologics**
3. **Octane Exo**
4. **Octane Biotech**
5. **Octane Biotherapeutics (BioTx)**

These companies are part of Octane Medical Group's ventures, which are focused on advanced bioprocesses, biomaterials, and bioreactors for regenerative medicine[4][5].","Octane Bio LLC, as part of Octane Medical Group, invests in companies related to **regenerative medicine** and **biotechnology**. Specifically, their ventures include:

- **Octane Clinical Systems**
- **Octane Orthobiologics**
- **Octane Exo**
- **Octane Biotech**
- **Octane Biotherapeutics (BioTx)**

These companies focus on advanced bioprocesses, biomaterials, and bioreactors for regenerative medicine[1][4][5]."
Outlander VC,Investor,"The current companies in the portfolio of Outlander VC, which is based in New York, are:

- **Applied Labs**[4]
- **Sidework**[4]
- **Vixiv**[5]

These companies are mentioned as part of Outlander VC's recent investments and active portfolio.","Outlander VC invests in companies changing everything, particularly focusing on visionary founders building software or hardware-enabled software. They specifically target AI applications, autonomy, the Future of Work, consumer tech, energy, infrastructure, and health, excluding crypto, gaming, biotech/pharma, and CPG[1][2]. 

### Categories of Companies They Invest In:
- **AI Applications**
- **Autonomy**
- **Future of Work**
- **Consumer Tech**
- **Energy**
- **Infrastructure**
- **Health**

### Specific Companies Mentioned:
- **Applied Labs** (completed $4.2 million Seed round)[3]
- **HavocAI** (revolutionizing maritime autonomy)[4]
- **Vixiv** (latest investment as part of their Seed VC - III)[5]"
Outsiders Fund,Investor,"The current companies in the active portfolio of Outsiders Fund are not explicitly listed in the provided sources. However, the sources do mention some of their recent investments:

- **RaySecur**: Series A - II, $6.5M, June 25, 2024[2]
- **Apex**: Series B, $95M, June 11, 2024[2]

These are the most recent investments mentioned, but they do not provide a comprehensive list of all active portfolio companies. For a complete and up-to-date list, you would need to visit the Outsiders Fund website or other reliable financial databases.","Outsiders Fund invests in companies that disrupt traditional, incumbent industries, particularly focusing on technology-driven innovations. The specific categories of companies they invest in are not explicitly listed, but they are known to support founders with outside perspectives in overlooked, antiquated, and long-standing industries[1][4]. 

Recent investments include:
- **RaySecur**: Series A - II[2]
- **Apex**: Series B[2]
- **Gradial**: Series A[3]

These companies are involved in various technological disruptions, but the exact categories are not detailed in the provided sources."
OVO Fund,Investor,"OVO Fund, based in Palo Alto, California, not New York, has a diverse portfolio of over 90 technology startups. The specific companies currently in their active portfolio are not exhaustively listed in the provided sources. However, some notable companies in their portfolio include:

- **Palantir**
- **Wish**
- **RelateIQ**
- **Signifyd**
- **Piazza**
- **Addepar**
- **Juniper Square**
- **Suma Wealth** (a fintech company)
- **Clayful** (an e-learning and wellness platform for children)

For the most up-to-date and comprehensive list, you would need to refer to OVO Fund's official website or recent investment reports[1][2].","OVO Fund invests in the following categories of companies:

- **Software & Apps**
- **Fintech & Financial services**
- **Healthtech & Wellness**
- **Data & Analytics**
- **AI & Deep Tech**

Recent specific investments include:
- **Suma Wealth (Fintech)**
- **Clayful (E-learning and wellness platform)**

OVO Fund is headquartered in Palo Alto, California, not New York, but it invests in companies across various sectors[2]."
Pennside Partners Holdings Inc,"Investor, Industry/Strategic","Pennside Partners Ltd. was acquired by Two Labs in 2018, and as a result, it is no longer an independent entity with its own portfolio. Therefore, there are no companies currently in the active portfolio of Pennside Partners Holdings Inc. The acquisition by Two Labs integrated Pennside's services into Two Labs' portfolio, which includes services for the pharmaceutical, biotech, and medical device sectors[2][3].","Pennside Partners Ltd. is not explicitly listed as a current company in any portfolio, as it was acquired by Two Labs in 2018[2][3]. Therefore, there is no current portfolio of companies under Pennside Partners Holdings Inc. to identify. However, Pennside Partners Ltd. primarily focused on providing market insights, benchmarking, and competitive intelligence to pharmaceutical and biotech companies[1][3]."
Pillar VC,Investor,"Pillar VC's current portfolio includes the following companies:

1. **Lightsource** - Procurement tools for supplier discovery, quoting, and relationship management.
2. **Republic** - Financial technology firm specializing in private market investment services.
3. **Amber Bio** - Biotechnology company pioneering new gene editing modalities.
4. **Yard Stick** - Measures soil carbon for large-scale agricultural carbon sequestration.
5. **Circle** - Enables businesses to use digital currencies and public blockchains for payments and commerce.
6. **Minus Coffee** - Creates products through fermentation.
7. **Sofar** - Curates events in non-traditional spaces to help performers own their fan relationships.
8. **Bridge** - Stablecoin infrastructure startup simplifying cross-border payments (acquired by Stripe in October 2024).
9. **Matterworks** - Uses AI to change the impact of biological measurements and observations.
10. **Adaptilens** - Developing an intraocular lens that imitates the properties of a young, healthy lens.
11. **Fluent Metal** - Developing production-grade liquid metal printing technology.
12. **Galy** - Grows cotton in a lab from cells, not plants.
13. **Acelab** - Helps architects discover, organize, and collaborate on product specs.

These companies are part of Pillar VC's active portfolio, as listed in the sources provided[1][4].","Pillar VC primarily invests in companies across the following categories: **crypto, web3, biotech, consumer, and frontier tech**[1][2]. They also focus on scientific breakthroughs, particularly in areas like AI, computing, biology, materials, manufacturing, and healthcare[5]. 

However, there is no specific mention of companies in their portfolio that are based in or around New York. The examples provided are from Boston and other locations, such as MIT and Carnegie Mellon University[5]. 

Therefore, the categories of companies they invest in are:
- **Crypto**
- **Web3**
- **Biotech**
- **Consumer**
- **Frontier tech**
- **Scientific breakthroughs in AI, computing, biology, materials, manufacturing, and healthcare**"
Plug and Play,Investor,"Plug and Play's current portfolio includes a diverse range of companies across various sectors, but it does not specifically list companies operating in and around New York. However, it does highlight some notable companies in its portfolio:

- **2MR Labs**: Empowers businesses and builds communities through Web3 technology.
- **2trde**: Drives Vehicle Profit.
- **Fintech**: Portfolio companies include various fintech startups.
- **Unicorn success stories**: PayPal, Dropbox, and Honey[2][3].

For a comprehensive list of all portfolio companies, you would need to refer to Plug and Play's official portfolio documentation, which includes over 1,000 companies[3].","Plug and Play invests in a wide range of companies across various sectors, but specific companies in their portfolio operating in and around New York are not detailed in the provided sources. However, Plug and Play generally invests in:

- **Blockchain and Fintech**: Companies like Blockdaemon, which provides blockchain nodes as a service platform[2].
- **Early-stage Startups**: Various companies across fintech, enterprise, cryptocurrency, and consumer tech[4].
- **Deep Tech and Life Sciences**: Companies involved in science and tech ventures like engineering, aerospace, physics, and biochemistry[5].

For a comprehensive list of their portfolio companies, it is recommended to visit their official investment portfolio page[3]."
Plum Alley,Investor,"Plum Alley has invested in the following companies, as per the available information:

1. **KETOS** - Series C investment on May 21, 2024[4].
2. **Juvena Therapeutics** - Series A investment on January 10, 2022[4].
3. **Gameto** - Series A - II investment on September 7, 2022[4].
4. **AiFi** - Multiple investments across Pre-Series B, Series B, and member SPVs and Ventures Fund I[5].

These companies are part of Plum Alley's active portfolio, although the exact number of investments and the full list of companies may not be publicly disclosed.","Plum Alley Ventures Company invests in companies across various sectors, including:

- **Environment**
- **Advanced Technologies**
- **Healthcare and Medical Imaging** (e.g., Openwater)
- **Retail and AI** (e.g., AiFi)

These investments are focused on disruptive innovation and generational impact[2][4]."
Presidio Ventures,Investor,"The current companies in the portfolio of Presidio Ventures are not explicitly listed in the available search results due to the connection issues with the Presidio Ventures website. However, Presidio Ventures is known to be the corporate venture capital arm of Sumitomo Corporation, and it invests in various industries including security, cloud and infrastructure, big data, hardware, artificial intelligence, and more[3]. For specific active portfolio companies, you would need to access the Presidio Ventures website directly or refer to their official portfolio documentation.

Given the current connection issues, it is recommended to try accessing the website again in a few minutes or to contact Presidio Ventures directly for the most up-to-date information on their active portfolio companies[1][2].","Presidio Ventures, the corporate venture capital arm of Sumitomo Corporation, invests in early-stage companies across various industries. The specific categories of companies they invest in are not detailed in the available search results. However, it is mentioned that they focus on identifying promising growth industries and partnering with leading startups, particularly in the U.S. and Asia markets[4][5].

Given the lack of specific portfolio details in the search results, it is not possible to identify the current companies in their portfolio. However, they generally invest in early-stage companies across multiple sectors, including technology and innovation[4][5]."
Protillion,Industry/Strategic,"The information provided does not specify the companies currently in the active portfolio of Protillion Biosciences. The sources mention that Protillion Biosciences is a biotechnology company leveraging High-Throughput Protein technologies to discover therapeutic molecules, but they do not list specific companies in their portfolio[1][2]. Therefore, there is no list of companies currently in their active portfolio available from the provided sources.","Protillion Biosciences is a biotechnology company leveraging High-Throughput Protein technologies to discover and optimize proteins. It is not explicitly mentioned that Protillion operates in New York, but it is based in Burlingame, CA, and has received funding from ARCH Venture Partners and Illumina Ventures[2][4].

The category of companies ARCH Venture Partners invests in includes biotechnology and pharmaceuticals[1][4]. 

Therefore, the category of companies in Protillion's industry is **biotechnology**."
Purelite ventures,Investor,"Purelite Ventures is not mentioned in the provided search results. The search results mention Pure Ventures, which is a different venture capital firm, and Purelite Ventures is not identified as an active investor in the US, operating in and around New York. Therefore, there is no list of companies currently in the active portfolio of Purelite Ventures available in the given sources.

However, Pure Ventures, which is mentioned, has a diverse portfolio including companies such as Atomos, Juneshine, Oats Overnight, Zbiotics, and MUD/WTR[1].","Purelite Ventures specializes in seed-stage investments in the healthcare sector in the USA, operating out of New York[1][2]. The specific companies in their portfolio are not detailed in the provided sources, but they focus on early-stage healthcare companies[1][2]. 

### Category of Companies They Invest In:
- **Healthcare**[1][2]"
Red Bike Capital LLC,Investor,"The current companies in the portfolio of Red Bike Capital LLC are not explicitly listed in the provided search results. However, Red Bike Capital focuses on investing in early-stage startups in verticals such as Data & AI, SaaS, Fintech, and Health & Wellness, with a focus on entrepreneurs building category-leading startups in these areas[1][3]. 

For a precise list of companies currently in their active portfolio, you would need to refer to more recent or specific updates from Red Bike Capital, which are not available in the provided sources.","Red Bike Capital LLC invests in the following categories of companies:

- **Data & AI**
- **SaaS (Software as a Service)**
- **Fintech (Financial Technology)**
- **Health & Wellness**

These categories are based on the information provided in the sources[1][3]."
Rhythm VC,Investor,"Rhythm VC's current portfolio includes the following companies:

1. **SoundHealth** - Invested in Seed VC - II on July 24, 2024, for $7M[4].
2. **Woundtech** - Mentioned as a high-impact innovator in healthcare[2].
3. **eHealth Technologies** - Mentioned as a high-impact innovator in healthcare[2].
4. **TimeDoc Health** - Mentioned as a high-impact innovator in healthcare[2].
5. **SpinSci** - Mentioned as a high-impact innovator in healthcare[2].

Note: The exact list of companies in Rhythm VC's active portfolio is not fully disclosed in the provided sources, but these are the companies mentioned as part of their investments or high-impact innovators in healthcare.","Rhythm VC focuses on early-stage companies taking transformational approaches to address significant unmet needs in healthcare[1][3]. 

### Category of Companies They Invest In:
- **Healthcare**[1][3]"
Sana Capital,Investor,"The current companies in the portfolio of Sana Capital are not explicitly listed in the provided sources. However, Sana Capital is mentioned to have invested in 14 healthcare companies and facilitated 2 IPOs, including athenahealth, but specific current portfolio companies are not detailed[1]. 

For a comprehensive list of current portfolio companies, additional specific information or a direct source from Sana Capital would be necessary.","Sana Capital invests in **healthcare services and solutions** at the intersection of market demand and strong policy tailwinds, specifically targeting underserved communities and championing overlooked founders[2]. They focus on early-stage growth businesses in the U.S. healthcare sector[2]. 

### Categories of Companies in Sana Capital's Portfolio:
- **Maternity Health Startups** (e.g., Cayaba Care)[3]
- **Healthcare Technology Solutions**
- **Healthcare Services for Underserved Communities** (including Black, Latinx, AAPI, women, and the elderly)[1][2]"
Santander,NYU,"The provided sources do not directly list the current companies in Santander's active portfolio operating in and around New York. However, Santander Holdings USA, Inc. (SHUSA) manages a diverse portfolio including:

- **Wealth Management**
- **Corporate & Investment Banking**
- **Structured Credit**
- **Commercial and Industrial Loans**
- **Commercial Real Estate Loans**
- **Auto Loans**
- **Fixed-income, real estate, and finance advisory**

Additionally, Santander has a $1 billion infrastructure loan portfolio acquisition from Santander, but the specific companies within this portfolio are not detailed in the provided sources[2][4]. For a comprehensive list of current companies in their active portfolio, you would need to refer to Santander's latest financial reports or their official investor relations documents.","Santander Holdings USA, Inc. (SHUSA) operates in various sectors, including:

- **Wealth Management**
- **Corporate & Investment Banking**
- **Commercial and Industrial (C&I)**
- **Commercial Real Estate (CRE)**
- **Auto**
- **Fixed-income, real estate, and finance advisory**
- **Asset-backed securitization (ABS)**

These categories indicate the types of companies and investments Santander is involved with in the New York area[2]."
